ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201920,FG1E022009,SCUOLA PRIMARIA,4,2,23,21
201920,RMPSII500C,SCUOLA SECONDARIA II GRADO,1,1,6,1
201920,BGPQ235008,SCUOLA SECONDARIA II GRADO,5,1,9,14
201920,MI1E009006,SCUOLA PRIMARIA,3,6,52,56
201920,RMPS46500Q,SCUOLA SECONDARIA II GRADO,4,1,22,9
201920,BSTN01500A,SCUOLA SECONDARIA II GRADO,3,1,4,0
201920,NA1E23000V,SCUOLA PRIMARIA,4,1,9,6
201920,VIPS01500A,SCUOLA SECONDARIA II GRADO,3,1,3,3
201920,SA1E02600X,SCUOLA PRIMARIA,3,1,7,10
201920,MITNUQ500H,SCUOLA SECONDARIA II GRADO,1,1,10,15
201920,CERHU1500P,SCUOLA SECONDARIA II GRADO,3,1,17,16
201920,MI1E06500E,SCUOLA PRIMARIA,1,2,22,33
201920,BSPLMR500P,SCUOLA SECONDARIA II GRADO,3,1,9,19
201920,NA1E12500E,SCUOLA PRIMARIA,2,2,13,16
201920,VE1E01200A,SCUOLA PRIMARIA,5,1,9,9
201920,NARH065003,SCUOLA SECONDARIA II GRADO,1,1,2,1
201920,ME1MU5500F,SCUOLA SECONDARIA I GRADO,1,1,10,2
201920,NAPL19500R,SCUOLA SECONDARIA II GRADO,1,1,4,8
201920,NAPC08500B,SCUOLA SECONDARIA II GRADO,5,1,4,12
201920,RGPM05500B,SCUOLA SECONDARIA II GRADO,4,1,2,1
201920,MIRF6M5002,SCUOLA SECONDARIA II GRADO,4,1,7,5
201920,VAPS025007,SCUOLA SECONDARIA II GRADO,4,1,7,4
201920,TVPL005007,SCUOLA SECONDARIA II GRADO,5,1,4,12
201920,MBPCZI5004,SCUOLA SECONDARIA II GRADO,4,1,6,4
201920,BSTF4M5001,SCUOLA SECONDARIA II GRADO,3,2,2,1
201920,NA1E18700T,SCUOLA PRIMARIA,3,1,7,5
201920,LTPLCG500C,SCUOLA SECONDARIA II GRADO,1,1,0,2
201920,MITF005006,SCUOLA SECONDARIA II GRADO,4,2,48,2
201920,TO1E07500P,SCUOLA PRIMARIA,1,2,15,20
201920,RMTDSN500S,SCUOLA SECONDARIA II GRADO,3,1,4,2
201920,RMSLBH500V,SCUOLA SECONDARIA II GRADO,3,1,9,3
201920,FI1M015004,SCUOLA SECONDARIA I GRADO,2,1,8,7
201920,BNTF2A500Q,SCUOLA SECONDARIA II GRADO,4,1,1,0
201920,NAPL41500E,SCUOLA SECONDARIA II GRADO,4,1,0,7
201920,CLTD095008,SCUOLA SECONDARIA II GRADO,3,1,11,5
201920,RM1E19500Q,SCUOLA PRIMARIA,4,2,23,16
