ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201516,SATL09500T,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
201516,SRPM475001,SCUOLA SECONDARIA II GRADO,3,15,15,0,0,0
201516,RM1E18900C,SCUOLA PRIMARIA,4,23,23,0,0,0
201516,FI1E01000Q,SCUOLA PRIMARIA,3,28,28,0,0,0
201516,CSPQ025009,SCUOLA SECONDARIA II GRADO,2,10,10,0,0,0
201516,SA1E00600P,SCUOLA PRIMARIA,4,29,29,0,0,0
201516,VITD015006,SCUOLA SECONDARIA II GRADO,3,8,6,2,0,2
201516,VB1M02000P,SCUOLA SECONDARIA I GRADO,3,20,20,0,0,0
201516,NA1M03900R,SCUOLA SECONDARIA I GRADO,1,11,11,0,0,0
201516,VI1E001007,SCUOLA PRIMARIA,4,47,43,4,1,3
201516,PETF005003,SCUOLA SECONDARIA II GRADO,1,6,5,1,0,1
201516,NA1E09000R,SCUOLA PRIMARIA,2,24,24,0,0,0
201516,MIPC275001,SCUOLA SECONDARIA II GRADO,5,22,22,0,0,0
201516,NA1E269005,SCUOLA PRIMARIA,5,8,8,0,0,0
201516,RC1E005008,SCUOLA PRIMARIA,1,12,12,0,0,0
201516,AGPM00500N,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
201516,VT1E00300T,SCUOLA PRIMARIA,5,18,18,0,0,0
201516,RM1M09100R,SCUOLA SECONDARIA I GRADO,1,28,28,0,0,0
201516,MIPS67500S,SCUOLA SECONDARIA II GRADO,4,30,30,0,0,0
201516,VBPM03500D,SCUOLA SECONDARIA II GRADO,2,24,23,1,0,1
201516,RM1E21000L,SCUOLA PRIMARIA,2,24,24,0,0,0
201516,PD1E006001,SCUOLA PRIMARIA,3,26,25,1,0,1
201516,NA1E10900L,SCUOLA PRIMARIA,5,12,12,0,0,0
201516,CAPC04500L,SCUOLA SECONDARIA II GRADO,1,5,5,0,0,0
201516,RM1E09600P,SCUOLA PRIMARIA,5,22,22,0,0,0
201516,MI1E08700B,SCUOLA PRIMARIA,5,76,76,0,0,0
201516,TOPM09500L,SCUOLA SECONDARIA II GRADO,4,21,21,0,0,0
201516,CE1E029003,SCUOLA PRIMARIA,1,13,12,1,1,0
201516,NATF9H500L,SCUOLA SECONDARIA II GRADO,2,10,10,0,0,0
201516,TOPL20500L,SCUOLA SECONDARIA II GRADO,2,23,22,1,0,1
201516,NA1E16000T,SCUOLA PRIMARIA,4,27,27,0,0,0
201516,FE1E00100N,SCUOLA PRIMARIA,5,24,19,5,2,3
201516,TOTF055007,SCUOLA SECONDARIA II GRADO,3,5,4,1,0,1
201516,PAPMRT500O,SCUOLA SECONDARIA II GRADO,3,4,4,0,0,0
201516,TATD055002,SCUOLA SECONDARIA II GRADO,3,9,9,0,0,0
201516,MI1M03100L,SCUOLA SECONDARIA I GRADO,3,59,59,0,0,0
201516,NA1E20800N,SCUOLA PRIMARIA,1,19,19,0,0,0
201516,RMPS165005,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
201516,CETB015007,SCUOLA SECONDARIA II GRADO,4,36,35,1,1,0
201516,NA1E19000N,SCUOLA PRIMARIA,3,13,13,0,0,0
201516,TV1E01000P,SCUOLA PRIMARIA,2,54,53,1,1,0
